Borough,zipcode,City,highschool_graduation_rate,College Enrollment Rate,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude
Queens,11373, QUEENS,65.0,40.0,58918,False,False,40.7408346,-73.8739962
Queens,11385, QUEENS,58.0,38.0,76414,False,False,40.7116318,-73.9091661
Queens,11101, QUEENS,70.0,50.0,82636,False,False,40.7433295,-73.9333269
Queens,11101, QUEENS,82.0,64.0,82636,True,True,40.7433295,-73.9333269
Queens,11368, QUEENS,85.0,58.0,51779,True,True,40.7377781,-73.85339259999999
Queens,11101, QUEENS,82.0,73.0,82636,True,True,40.7414459,-73.9369871
Queens,11101, QUEENS,80.0,62.0,82636,True,True,40.7419393,-73.9279577
Queens,11101, QUEENS,94.0,82.0,82636,True,True,40.743581,-73.9292176
Queens,11366, QUEENS,93.0,86.0,93913,True,True,40.724191,-73.80937
Queens,11355, QUEENS,69.0,58.0,45619,False,True,40.7603435,-73.81790869999999
Queens,11355, QUEENS,92.0,80.0,45619,True,True,40.749226,-73.82123109999999
